,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,nnClassifier,logistic,None,28,None,None,invscaling,None,None,None,None,7,None,sgd,None,0.0,ok,7.861787463072687
1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,21.0,sqrt,11.0,28.0,None,None,None,None,0.9615384615384616,ok,9.094603884965181
2,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,nnClassifier,identity,None,21,None,None,invscaling,None,None,None,None,3,None,lbfgs,None,0.2454212454212454,ok,9.703808427089825
3,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,kneighborsClassifier,None,auto,None,None,24.0,None,None,None,None,None,None,8.0,None,distance,0.8992673992673993,ok,9.752269241958857
4,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,kneighborsClassifier,None,kd_tree,None,None,3.0,None,None,None,None,None,None,5.0,None,uniform,0.8608058608058609,ok,9.841430736007169
5,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,nnClassifier,logistic,None,22,None,None,adaptive,None,None,None,None,10,None,lbfgs,None,0.3021978021978022,ok,12.548495188122615
6,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,23.0,log2,20.0,33.0,None,None,None,None,0.9102564102564102,ok,13.867953249020502
7,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,kneighborsClassifier,None,auto,None,None,19.0,None,None,None,None,None,None,4.0,None,distance,0.8534798534798534,ok,13.920825056964532
8,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,nnClassifier,relu,None,18,None,None,invscaling,None,None,None,None,3,None,sgd,None,0.17582417582417584,ok,27.077043903060257
9,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,nnClassifier,logistic,None,13,None,None,invscaling,None,None,None,None,8,None,lbfgs,None,0.32967032967032966,ok,29.952411839039996
10,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,53.0,auto,15.0,12.0,None,None,None,None,0.978021978021978,ok,30.780316926073283
11,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,63.0,sqrt,5.0,24.0,None,None,None,None,0.9230769230769231,ok,32.73508813302033
12,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,78.0,auto,4.0,34.0,None,None,None,None,0.9267399267399268,ok,34.59568913304247
13,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,kneighborsClassifier,None,brute,None,None,26.0,None,None,None,None,None,None,4.0,None,uniform,0.826007326007326,ok,34.679275444941595
14,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,69.0,log2,18.0,36.0,None,None,None,None,0.9102564102564102,ok,36.028301254147664
15,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,nnClassifier,tanh,None,14,None,None,constant,None,None,None,None,9,None,adam,None,0.32051282051282054,ok,56.65745794004761
